node_name,date,tp_mean,tp_max
Lagos,1/1/20,1.92861E-06,3.60049E-05
Lagos,1/2/20,2.14204E-07,5.1409E-06
Lagos,1/3/20,0,0
Lagos,1/4/20,0,0
Lagos,1/5/20,0,0
Lagos,1/6/20,4.28408E-07,1.02818E-05
Lagos,1/7/20,7.92788E-06,7.71321E-05
Lagos,1/8/20,4.71327E-06,4.11458E-05
Lagos,1/9/20,1.07102E-06,1.02818E-05
Lagos,1/10/20,0.000627576,0.00232432
Lagos,1/11/20,0.004053207,0.0204355
Lagos,1/12/20,0.00096547,0.004664064
Lagos,1/13/20,0.00036425,0.001383275
Lagos,1/14/20,0.000315825,0.001126174
Lagos,1/15/20,0.000274044,0.001079887
Lagos,1/16/20,0.000327608,0.001732949
Lagos,1/17/20,0.00030361,0.002499167
Lagos,1/18/20,0.000348179,0.002509449
Lagos,1/19/20,0.000140128,0.00187695
Lagos,1/20/20,1.49943E-06,1.54227E-05
Lagos,1/21/20,0,0
Lagos,1/22/20,8.56817E-07,5.1409E-06
Lagos,1/23/20,4.32832E-05,0.000370257
Lagos,1/24/20,8.33503E-05,0.000431947
Lagos,1/25/20,0,0
Lagos,1/26/20,4.28408E-07,1.02818E-05
Lagos,1/27/20,2.35702E-06,4.62867E-05
Lagos,1/28/20,8.9989E-06,0.000133701
Lagos,1/29/20,3.44977E-05,0.000174847
Lagos,1/30/20,7.07068E-05,0.000298265
Lagos,1/31/20,0.000127701,0.000776481
Lagos,2/1/20,4.43535E-05,0.000231415
Lagos,2/2/20,0.000150198,0.001157019
Lagos,2/3/20,0.000197337,0.001959223
Lagos,2/4/20,0.000194123,0.001378134
Lagos,2/5/20,0.000154914,0.000971891
Lagos,2/6/20,2.09998E-05,0.000107996
Lagos,2/7/20,1.58565E-05,0.000164565
Lagos,2/8/20,1.6926E-05,0.000354815
Lagos,2/9/20,0.000240405,0.000709649
Lagos,2/10/20,0.001217871,0.004952047
Lagos,2/11/20,0.00011206,0.000699349
Lagos,2/12/20,1.28561E-05,0.000133701
Lagos,2/13/20,6.42613E-07,1.54227E-05
Lagos,2/14/20,2.35702E-06,4.11458E-05
Lagos,2/15/20,9.8565E-06,8.74139E-05
Lagos,2/16/20,4.09239E-05,0.00025712
Lagos,2/17/20,0.000106491,0.000426807
Lagos,2/18/20,0.000720138,0.002509449
Lagos,2/19/20,0.000591797,0.001959223
Lagos,2/20/20,0.000144629,0.001064464
Lagos,2/21/20,0.000216838,0.000709649
Lagos,2/22/20,0.000514017,0.002596863
Lagos,2/23/20,0.00062972,0.002519731
Lagos,2/24/20,0.000836483,0.002735704
Lagos,2/25/20,0.001651323,0.005240012
Lagos,2/26/20,0.000514875,0.001537558
Lagos,2/27/20,0.000298469,0.001429562
Lagos,2/28/20,0.000593724,0.003260225
Lagos,2/29/20,0.000533944,0.001851227
Lagos,3/1/20,0.006387595,0.03037557
Lagos,3/2/20,0.009413626,0.027125636
Lagos,3/3/20,0.002662855,0.009045303
Lagos,3/4/20,0.001620254,0.004844051
Lagos,3/5/20,0.00697232,0.027896985
Lagos,3/6/20,0.009144942,0.052348617
Lagos,3/7/20,0.006747988,0.031074919
Lagos,3/8/20,0.002757131,0.011966135
Lagos,3/9/20,0.000844839,0.005877651
Lagos,3/10/20,0.001179946,0.003553331
Lagos,3/11/20,0.004447449,0.022872956
Lagos,3/12/20,0.004593361,0.024971012
Lagos,3/13/20,0.004429666,0.012192391
Lagos,3/14/20,0.003834016,0.015858859
Lagos,3/15/20,0.000494305,0.002745986
Lagos,3/16/20,0.000196694,0.001285579
Lagos,3/17/20,0.000404958,0.001460407
Lagos,3/18/20,0.001826161,0.007003807
Lagos,3/19/20,0.002973538,0.007245503
Lagos,3/20/20,0.004824551,0.015205787
Lagos,3/21/20,0.001636111,0.004813187
Lagos,3/22/20,0.00044524,0.003280789
Lagos,3/23/20,0.005811444,0.023875702
Lagos,3/24/20,0.017132218,0.045823036
Lagos,3/25/20,0.00386037,0.032550767
Lagos,3/26/20,0.000495592,0.00400072
Lagos,3/27/20,0.00052923,0.004273262
Lagos,3/28/20,0.000420598,0.003260225
Lagos,3/29/20,0.000566728,0.003059674
Lagos,3/30/20,0.00076085,0.003861878
Lagos,3/31/20,0.000464094,0.002473444
Lagos,4/1/20,0.000209552,0.00186665
Lagos,4/2/20,4.86383E-05,0.000231415
Lagos,4/3/20,0.000220048,0.001964364
Lagos,4/4/20,0.00204921,0.00683412
Lagos,4/5/20,0.000164128,0.001018178
Lagos,4/6/20,0.001158948,0.003949292
Lagos,4/7/20,0.000248974,0.001218729
Lagos,4/8/20,0.000325251,0.002478585
Lagos,4/9/20,0.000699142,0.00438638
Lagos,4/10/20,0.001686035,0.007178653
Lagos,4/11/20,0.00844216,0.058066854
Lagos,4/12/20,0.001296078,0.003815591
Lagos,4/13/20,0.001753954,0.006283894
Lagos,4/14/20,0.000834985,0.001954082
Lagos,4/15/20,0.000972112,0.004957188
Lagos,4/16/20,0.000996322,0.003692173
Lagos,4/17/20,0.007332279,0.019237343
Lagos,4/18/20,0.007687526,0.021201707
Lagos,4/19/20,0.01206341,0.034170588
Lagos,4/20/20,0.001424205,0.006016493
Lagos,4/21/20,0.001840518,0.010377169
Lagos,4/22/20,0.011442264,0.031758845
Lagos,4/23/20,0.008804907,0.032108529
Lagos,4/24/20,0.001913582,0.004556086
Lagos,4/25/20,0.008255538,0.036314921
Lagos,4/26/20,0.013232639,0.05308397
Lagos,4/27/20,0.003383423,0.022492427
Lagos,4/28/20,0.000308328,0.0019335
Lagos,4/29/20,0.001123381,0.005024038
Lagos,4/30/20,0.002571368,0.011837576
Lagos,5/1/20,4.00678E-05,0.00025712
Lagos,5/2/20,0.001136023,0.006319881
Lagos,5/3/20,0.009431835,0.043313596
Lagos,5/4/20,0.002835765,0.012860894
Lagos,5/5/20,0.00017634,0.000925623
Lagos,5/6/20,0.000619865,0.00309052
Lagos,5/7/20,0.003743597,0.016295956
Lagos,5/8/20,0.004230615,0.018085474
Lagos,5/9/20,0.006631642,0.017951773
Lagos,5/10/20,0.023927768,0.07235217
Lagos,5/11/20,0.016415081,0.05177268
Lagos,5/12/20,0.000559656,0.001835804
Lagos,5/13/20,0.001239725,0.004160125
Lagos,5/14/20,0.000270403,0.00078164
Lagos,5/15/20,0.002417743,0.011061095
Lagos,5/16/20,0.005622465,0.025361823
Lagos,5/17/20,0.001517838,0.006330181
Lagos,5/18/20,0.003823732,0.012902031
Lagos,5/19/20,0.012865609,0.037574787
Lagos,5/20/20,0.003143235,0.006906111
Lagos,5/21/20,0.005624822,0.02179821
Lagos,5/22/20,0.016838036,0.033682073
Lagos,5/23/20,0.015275634,0.047041764
Lagos,5/24/20,0.010629993,0.04674865
Lagos,5/25/20,0.025662222,0.0687577
Lagos,5/26/20,0.004228686,0.017031301
Lagos,5/27/20,0.004380388,0.026194882
Lagos,5/28/20,0.01973058,0.071920212
Lagos,5/29/20,0.00640131,0.026410855
Lagos,5/30/20,0.037776196,0.07311837
Lagos,5/31/20,0.010814047,0.05880221
Lagos,6/1/20,0.002875833,0.008849893
Lagos,6/2/20,0.001165378,0.004499517
Lagos,6/3/20,0.001351785,0.005913656
Lagos,6/4/20,0.004602363,0.016357657
Lagos,6/5/20,0.003534906,0.019705296
Lagos,6/6/20,0.00834724,0.030689249
Lagos,6/7/20,0.012721839,0.032278225
Lagos,6/8/20,0.002621078,0.008021984
Lagos,6/9/20,0.007962641,0.021314835
Lagos,6/10/20,0.014213106,0.051232735
Lagos,6/11/20,0.016916241,0.04372498
Lagos,6/12/20,0.025880129,0.08525934
Lagos,6/13/20,0.012453583,0.03114691
Lagos,6/14/20,0.006104555,0.014989804
Lagos,6/15/20,0.005149803,0.02212218
Lagos,6/16/20,0.003288717,0.013133436
Lagos,6/17/20,0.020895311,0.055804243
Lagos,6/18/20,0.069591608,0.14666354
Lagos,6/19/20,0.017269346,0.045740763
Lagos,6/20/20,0.008096554,0.03295186
Lagos,6/21/20,0.01619225,0.05107847
Lagos,6/22/20,0.009879005,0.02038408
Lagos,6/23/20,0.008290892,0.03321412
Lagos,6/24/20,0.004346531,0.012794044
Lagos,6/25/20,0.0076646,0.02127884
Lagos,6/26/20,0.004511084,0.008623637
Lagos,6/27/20,0.01175123,0.036268644
Lagos,6/28/20,0.024010259,0.045483643
Lagos,6/29/20,0.044379125,0.090252515
Lagos,6/30/20,0.009206006,0.024415646
Lagos,7/1/20,0.004699849,0.013549961
Lagos,7/2/20,0.004279682,0.014341874
Lagos,7/3/20,0.005874652,0.02173136
Lagos,7/4/20,0.054258341,0.15746752
Lagos,7/5/20,0.017340268,0.035322458
Lagos,7/6/20,0.002911829,0.018975092
Lagos,7/7/20,0.016922669,0.035713278
Lagos,7/8/20,0.065620465,0.18590443
Lagos,7/9/20,0.024639334,0.069745015
Lagos,7/10/20,0.009692168,0.031074919
Lagos,7/11/20,0.017272987,0.037945034
Lagos,7/12/20,0.007373634,0.018851673
Lagos,7/13/20,0.003811306,0.011534188
Lagos,7/14/20,0.003464198,0.00851566
Lagos,7/15/20,0.00176981,0.004247539
Lagos,7/16/20,0.002251257,0.010351446
Lagos,7/17/20,0.001933936,0.004196111
Lagos,7/18/20,0.001630968,0.003964715
Lagos,7/19/20,0.005649462,0.019561313
Lagos,7/20/20,0.009808511,0.019165352
Lagos,7/21/20,0.01232824,0.044882
Lagos,7/22/20,0.006354386,0.023690583
Lagos,7/23/20,0.004139555,0.012557497
Lagos,7/24/20,0.002053922,0.004165266
Lagos,7/25/20,0.003314857,0.012650061
Lagos,7/26/20,0.002779631,0.00999663
Lagos,7/27/20,0.002129988,0.003903005
Lagos,7/28/20,0.004553507,0.016254811
Lagos,7/29/20,0.000581298,0.003342498
Lagos,7/30/20,0.001570119,0.004468653
Lagos,7/31/20,0.008091627,0.021715937
Lagos,8/1/20,0.003155877,0.006818697
Lagos,8/2/20,0.001039391,0.003203657
Lagos,8/3/20,0.000625221,0.003049392
Lagos,8/4/20,0.000322896,0.001907796
Lagos,8/5/20,0.000779489,0.003393926
Lagos,8/6/20,0.00150391,0.004607495
Lagos,8/7/20,0.001728459,0.007754583
Lagos,8/8/20,0.000939115,0.005425122
Lagos,8/9/20,0.000432599,0.002761409
Lagos,8/10/20,0.001659252,0.005923938
Lagos,8/11/20,0.00146663,0.005085729
Lagos,8/12/20,0.000108419,0.000437107
Lagos,8/13/20,0.00016477,0.001187883
Lagos,8/14/20,0.004007568,0.012917463
Lagos,8/15/20,0.002472806,0.006607864
Lagos,8/16/20,0.001202015,0.003702454
Lagos,8/17/20,0.000933756,0.006093625
Lagos,8/18/20,0.001248938,0.002997965
Lagos,8/19/20,0.001012609,0.004463513
Lagos,8/20/20,0.001242725,0.003656186
Lagos,8/21/20,0.010159045,0.030195592
Lagos,8/22/20,0.002260259,0.00516288
Lagos,8/23/20,0.001500697,0.004700068
Lagos,8/24/20,0.000602939,0.002308898
Lagos,8/25/20,0.00068093,0.004607495
Lagos,8/26/20,0.000362965,0.00141928
Lagos,8/27/20,0.00079706,0.003985278
Lagos,8/28/20,0.002138771,0.006093625
Lagos,8/29/20,0.003150093,0.00722494
Lagos,8/30/20,0.00486119,0.018193461
Lagos,8/31/20,0.00727036,0.019124215
Lagos,9/1/20,0.005807159,0.020790324
Lagos,9/2/20,0.002389459,0.00638159
Lagos,9/3/20,0.002873261,0.006494727
Lagos,9/4/20,0.003213299,0.006541014
Lagos,9/5/20,0.009632603,0.028647752
Lagos,9/6/20,0.002517586,0.005641114
Lagos,9/7/20,0.001073243,0.003440194
Lagos,9/8/20,0.002842409,0.016506789
Lagos,9/9/20,0.047789111,0.14001455
Lagos,9/10/20,0.004504873,0.014295597
Lagos,9/11/20,0.001239941,0.003327075
Lagos,9/12/20,0.004517299,0.031136628
Lagos,9/13/20,0.020872813,0.04526767
Lagos,9/14/20,0.006841619,0.02231244
Lagos,9/15/20,0.016498217,0.036278926
Lagos,9/16/20,0.023536954,0.056076786
Lagos,9/17/20,0.005554329,0.01373509
Lagos,9/18/20,0.001365711,0.003537908
Lagos,9/19/20,0.008095697,0.021304553
Lagos,9/20/20,0.009444052,0.016820468
Lagos,9/21/20,0.010530361,0.030354997
Lagos,9/22/20,0.015790722,0.075751226
Lagos,9/23/20,0.008394594,0.022538705
Lagos,9/24/20,0.003245009,0.006988384
Lagos,9/25/20,0.002600721,0.012326092
Lagos,9/26/20,0.007533044,0.039179185
Lagos,9/27/20,0.008780694,0.033244975
Lagos,9/28/20,0.005347353,0.029449956
Lagos,9/29/20,0.00939177,0.029640216
Lagos,9/30/20,0.018934809,0.0416732
Lagos,10/1/20,0.003451129,0.006006211
Lagos,10/2/20,0.002401029,0.00973437
Lagos,10/3/20,0.006878256,0.017936341
Lagos,10/4/20,0.004144911,0.032463344
Lagos,10/5/20,0.002658142,0.012485506
Lagos,10/6/20,0.011269353,0.038850084
Lagos,10/7/20,0.015342697,0.04539109
Lagos,10/8/20,0.014354304,0.052091507
Lagos,10/9/20,0.01751232,0.046604667
Lagos,10/10/20,0.006493227,0.027645007
Lagos,10/11/20,0.010797763,0.05190124
Lagos,10/12/20,0.001392066,0.003455635
Lagos,10/13/20,0.003754954,0.019900706
Lagos,10/14/20,0.010252465,0.057115527
Lagos,10/15/20,0.008969459,0.034139734
Lagos,10/16/20,0.005412701,0.016244529
Lagos,10/17/20,0.012794901,0.036448622
Lagos,10/18/20,0.002250188,0.011035372
Lagos,10/19/20,0.002495731,0.008181408
Lagos,10/20/20,0.002903688,0.006921534
Lagos,10/21/20,0.000701925,0.002087783
Lagos,10/22/20,0.000955398,0.002910551
Lagos,10/23/20,0.001430634,0.003635604
Lagos,10/24/20,0.001574834,0.003903005
Lagos,10/25/20,0.007424628,0.016517071
Lagos,10/26/20,0.00265086,0.013133436
Lagos,10/27/20,0.003012321,0.008104276
Lagos,10/28/20,0.001921081,0.00593422
Lagos,10/29/20,0.001522981,0.003851578
Lagos,10/30/20,0.00095347,0.00251459
Lagos,10/31/20,0.001371495,0.004705209
Lagos,11/1/20,0.001726528,0.003522486
Lagos,11/2/20,0.002060567,0.004936606
Lagos,11/3/20,0.00030404,0.000915341
Lagos,11/4/20,0.002705064,0.006983243
Lagos,11/5/20,0.001779238,0.007137507
Lagos,11/6/20,0.001088028,0.002936255
Lagos,11/7/20,0.00434139,0.010701139
Lagos,11/8/20,0.001305288,0.004216693
Lagos,11/9/20,0.002645715,0.016563348
Lagos,11/10/20,0.004076563,0.020723473
Lagos,11/11/20,0.00528543,0.029563084
Lagos,11/12/20,0.000381387,0.003080238
Lagos,11/13/20,0.00072421,0.006864965
Lagos,11/14/20,0.002077492,0.007579755
Lagos,11/15/20,0.001131522,0.00451494
Lagos,11/16/20,0.001858087,0.004900619
Lagos,11/17/20,0.002099133,0.010006912
Lagos,11/18/20,0.001990286,0.014773831
Lagos,11/19/20,0.001695462,0.004494377
Lagos,11/20/20,0.001176303,0.002869405
Lagos,11/21/20,0.002385387,0.017118724
Lagos,11/22/20,0.000463238,0.002494026
Lagos,11/23/20,0.000773917,0.002499167
Lagos,11/24/20,0.001979146,0.005204007
Lagos,11/25/20,0.002210333,0.005409699
Lagos,11/26/20,0.002654716,0.010994244
Lagos,11/27/20,0.00708288,0.015894854
Lagos,11/28/20,0.004761987,0.018028906
Lagos,11/29/20,0.00088855,0.002098065
Lagos,11/30/20,0.00060208,0.00199521
Lagos,12/1/20,0.000783132,0.002627727
Lagos,12/2/20,0.000496234,0.001938641
Lagos,12/3/20,0.001540548,0.005147439
Lagos,12/4/20,0.001037248,0.005301721
Lagos,12/5/20,0.000697642,0.002751127
Lagos,12/6/20,0.001136667,0.002761409
Lagos,12/7/20,0.002402742,0.00587251
Lagos,12/8/20,0.002410671,0.006983243
Lagos,12/9/20,0.00247602,0.005831365
Lagos,12/10/20,0.002306109,0.005018879
Lagos,12/11/20,0.00211156,0.004916042
Lagos,12/12/20,0.00338535,0.010084044
Lagos,12/13/20,0.004138056,0.015714876
Lagos,12/14/20,0.002238617,0.006906111
Lagos,12/15/20,0.004157767,0.020790324
Lagos,12/16/20,0.001763171,0.004154984
Lagos,12/17/20,0.002018353,0.00631474
Lagos,12/18/20,0.001383067,0.00510117
Lagos,12/19/20,0.001225586,0.003537908
Lagos,12/20/20,0.001869015,0.005743951
Lagos,12/21/20,0.001219156,0.002704859
Lagos,12/22/20,0.001046245,0.002812836
Lagos,12/23/20,0.000730422,0.002329461
Lagos,12/24/20,0.001641897,0.004103556
Lagos,12/25/20,0.000583653,0.002447739
Lagos,12/26/20,0.000326538,0.001851227
Lagos,12/27/20,0.000180623,0.002134051
Lagos,12/28/20,0.000103062,0.001213588
Lagos,12/29/20,0.000101561,0.000545084
Lagos,12/30/20,0.000150627,0.001126174
Lagos,12/31/20,0.000102848,0.000529662